Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","BHR","Bahreïn","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","1569.666","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BGD","Bangladesh","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","167658.855","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BGD","Bangladesh","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","169384.897","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BGD","Bangladesh","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","171466.99","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRB","Barbade","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","282.147","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRB","Barbade","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","282.318","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRB","Barbade","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","282.336","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BLR","Bélarus","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","9251.365","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BLR","Bélarus","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","9173.237","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BLR","Bélarus","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","9115.68","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BEL","Belgique","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","11570.844","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BEL","Belgique","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","11641.82","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BEL","Belgique","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","11712.893","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","F15","Belgique-Luxembourg","511","Population totale","3010","Population-Estimations","2021","2021","","","","",""
"OA","Séries temporelles annuelles","F15","Belgique-Luxembourg","511","Population totale","3010","Population-Estimations","2022","2022","","","","",""
"OA","Séries temporelles annuelles","F15","Belgique-Luxembourg","511","Population totale","3010","Population-Estimations","2023","2023","","","","",""
"OA","Séries temporelles annuelles","BLZ","Belize","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","395.346","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BLZ","Belize","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","402.733","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BLZ","Belize","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","411.106","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BEN","Bénin","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","13413.417","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BEN","Bénin","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","13759.501","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BEN","Bénin","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","14111.034","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BMU","Bermudes","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","64.648","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BMU","Bermudes","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","64.749","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BMU","Bermudes","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","64.698","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BTN","Bhoutan","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","775.442","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BTN","Bhoutan","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","780.914","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BTN","Bhoutan","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","786.385","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BOL","Bolivie (État plurinational de)","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","11937.36","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BOL","Bolivie (État plurinational de)","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","12077.154","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BOL","Bolivie (État plurinational de)","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","12244.159","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BES","Bonaire, Saint-Eustache et Saba","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","27.323","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BES","Bonaire, Saint-Eustache et Saba","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","28.627","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BES","Bonaire, Saint-Eustache et Saba","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","29.898","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BIH","Bosnie-Herzégovine","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","3244.907","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BIH","Bosnie-Herzégovine","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","3204.802","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BIH","Bosnie-Herzégovine","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","3185.073","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BWA","Botswana","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","2401.441","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BWA","Botswana","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","2439.892","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BWA","Botswana","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","2480.244","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRA","Brésil","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","209550.294","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRA","Brésil","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","210306.415","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRA","Brésil","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","211140.729","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRN","Brunéi Darussalam","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","451.721","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRN","Brunéi Darussalam","511","Population totale","3010","Population-Estimations","2022","2022","1000 No","455.37","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRN","Brunéi Darussalam","511","Population totale","3010","Population-Estimations","2023","2023","1000 No","458.949","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BGR","Bulgarie","511","Population totale","3010","Population-Estimations","2021","2021","1000 No","6877.225","X","Ciffre de sources internationales",""
