Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"TCL","Cultures et produits animaux","BTN","Bhoutan","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","6952","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","BTN","Bhoutan","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","87.13","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","BTN","Bhoutan","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","59","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","BOL","Bolivie (État plurinational de)","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","3210.62","I","Valeur imputée",""
"TCL","Cultures et produits animaux","BOL","Bolivie (État plurinational de)","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","2897","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BOL","Bolivie (État plurinational de)","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","216","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BOL","Bolivie (État plurinational de)","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","319","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BIH","Bosnie-Herzégovine","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","11401.14","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BIH","Bosnie-Herzégovine","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","15565","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BIH","Bosnie-Herzégovine","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","7812.82","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BIH","Bosnie-Herzégovine","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","18636","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BWA","Botswana","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","4850.97","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BWA","Botswana","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","4188","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BWA","Botswana","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","3.67","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BWA","Botswana","5922","Exportations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","12","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BRA","Brésil","5610","Importations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","4821.33","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BRA","Brésil","5622","Importations - valeur","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 USD","13824","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","BRA","Brésil","5910","Exportations - quantité","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","tonnes","4364053.23","A","Chiffre officiel",""
