Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","BTN","Bhoutan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3215","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BTN","Bhoutan","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","18.18","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BOL","Bolivie (État plurinational de)","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2331","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BOL","Bolivie (État plurinational de)","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","160.42","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BIH","Bosnie-Herzégovine","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3368","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BIH","Bosnie-Herzégovine","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","82.13","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BWA","Botswana","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2622","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BWA","Botswana","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","9.75","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BRA","Brésil","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3305","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BRA","Brésil","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","177.76","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BGR","Bulgarie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","3055","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BGR","Bulgarie","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","80.24","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BFA","Burkina Faso","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2675","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BFA","Burkina Faso","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","25.15","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BDI","Burundi","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","1755","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","BDI","Burundi","664","Disponibilité alimentaire (Kcal/personne/jour)","S2734","Viande de Volailles","2022","2022","kcal/personne/jour","2.48","E","Valeur estimée",""
"FBS","Bilans Alimentaires (2010-)","CPV","Cabo Verde","664","Disponibilité alimentaire (Kcal/personne/jour)","S2901","Total General","2022","2022","kcal/personne/jour","2642","E","Valeur estimée",""
