"","","","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","Unité","Valeur","Description du Symbole","Note"
"Bélarus [BLR]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","7642.810883","Ciffre de sources internationales",""
"Bénin [BEN]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-4.266362","Ciffre de sources internationales",""
"Bénin [BEN]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","1302.850067","Ciffre de sources internationales",""
"Cabo Verde [CPV]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","9.689909","Ciffre de sources internationales",""
"Cabo Verde [CPV]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","3902.589049","Ciffre de sources internationales",""
"Cambodge [KHM]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","8.267912","Ciffre de sources internationales",""
"Cambodge [KHM]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","1759.608024","Ciffre de sources internationales",""
"Cameroun [CMR]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-4.706494","Ciffre de sources internationales",""
"Cameroun [CMR]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","1588.478723","Ciffre de sources internationales",""
"Canada [CAN]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","5.986125","Ciffre de sources internationales",""
"Canada [CAN]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","55596.844019","Ciffre de sources internationales",""
"Chili [CHL]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-5.59597","Ciffre de sources internationales",""
"Chili [CHL]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","15338.201466","Ciffre de sources internationales",""
"Chine - RAS de Hong-Kong [HKG]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-2.384303","Ciffre de sources internationales",""
"Chine - RAS de Hong-Kong [HKG]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","48049.817804","Ciffre de sources internationales",""
"Chine - RAS de Macao [MAC]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","-23.323489","Ciffre de sources internationales",""
"Chine - RAS de Macao [MAC]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","34584.858737","Ciffre de sources internationales",""
"Chine [F351]","Croissance annuelle US$ par habitant [61290]","Produit Intérieur Brut [22008]","%","0.695682","Ciffre de sources internationales",""
"Chine [F351]","Valeur US $ par habitant [6119]","Produit Intérieur Brut [22008]","USD","12793.680838","Ciffre de sources internationales",""
