"","","","","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","","Unité","Valeur","Description du Symbole"
"France [FRA]","Venezuela (République bolivarienne du) [VEN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Viet Nam [VNM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","209.04","Chiffre officiel"
"France [FRA]","Viet Nam [VNM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","234","Chiffre officiel"
"France [FRA]","Yémen [YEM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","5199.08","Chiffre officiel"
"France [FRA]","Yémen [YEM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","11275","Chiffre officiel"
"France [FRA]","Zambie [ZMB]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Zambie [ZMB]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Zimbabwe [ZWE]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Zimbabwe [ZWE]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Égypte [EGY]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Égypte [EGY]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Émirats arabes unis [ARE]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","6097","Chiffre officiel"
"France [FRA]","Émirats arabes unis [ARE]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","12840","Chiffre officiel"
"France [FRA]","Équateur [ECU]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Équateur [ECU]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Érythrée [ERI]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Érythrée [ERI]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","États-Unis d'Amérique [USA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","1.28","Chiffre officiel"
"France [FRA]","États-Unis d'Amérique [USA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","12","Chiffre officiel"
"France [FRA]","Éthiopie RDP [F62]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Éthiopie RDP [F62]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Éthiopie [ETH]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","3.14","Chiffre officiel"
"France [FRA]","Éthiopie [ETH]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","10","Chiffre officiel"
"France [FRA]","Île Bouvet [BVT]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Île Bouvet [BVT]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Île Heard et Îles McDonald [HMD]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Île Heard et Îles McDonald [HMD]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Île Johnston [JTN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Île Johnston [JTN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Île Midway [MID]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Île Midway [MID]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Îles Cook [COK]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Îles Cook [COK]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Îles Féroé [FRO]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Îles Féroé [FRO]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Îles Marshall [MHL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Îles Marshall [MHL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Îles Salomon [SLB]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Îles Salomon [SLB]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Îles Svalbard-et-Jan Mayen [SJM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Îles Svalbard-et-Jan Mayen [SJM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Îles Wake [WAK]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Îles Wake [WAK]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Îles mineures éloignées des États-Unis [UMI]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Îles mineures éloignées des États-Unis [UMI]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"","","","","","",""
"","","","","","",""
