"","","","","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","","Unité","Valeur","Description du Symbole"
"France [FRA]","Canada [CAN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","26.52","Chiffre officiel"
"France [FRA]","Canada [CAN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","19","Chiffre officiel"
"France [FRA]","Chili [CHL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Chili [CHL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Chine - RAS de Hong-Kong [HKG]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","1021.55","Chiffre officiel"
"France [FRA]","Chine - RAS de Hong-Kong [HKG]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","3629","Chiffre officiel"
"France [FRA]","Chine - RAS de Macao [MAC]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","0.16","Chiffre officiel"
"France [FRA]","Chine - RAS de Macao [MAC]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","2","Chiffre officiel"
"France [FRA]","Chine, Taiwan Province de [TWN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Chine, Taiwan Province de [TWN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Chine, continentale [CHN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","25.18","Chiffre officiel"
"France [FRA]","Chine, continentale [CHN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","52","Chiffre officiel"
"France [FRA]","Chypre [CYP]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","23.53","Chiffre officiel"
"France [FRA]","Chypre [CYP]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","169","Chiffre officiel"
"France [FRA]","Colombie [COL]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Colombie [COL]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Comores [COM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","941.46","Chiffre officiel"
"France [FRA]","Comores [COM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","1406","Chiffre officiel"
"France [FRA]","Congo [COG]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","2974.74","Chiffre officiel"
"France [FRA]","Congo [COG]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","4204","Chiffre officiel"
"France [FRA]","Costa Rica [CRI]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Costa Rica [CRI]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Croatie [HRV]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","99.99","Chiffre officiel"
"France [FRA]","Croatie [HRV]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","101","Chiffre officiel"
"France [FRA]","Cuba [CUB]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Cuba [CUB]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Côte d'Ivoire [CIV]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","70.09","Chiffre officiel"
"France [FRA]","Côte d'Ivoire [CIV]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","187","Chiffre officiel"
"France [FRA]","Danemark [DNK]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","2185.99","Chiffre officiel"
"France [FRA]","Danemark [DNK]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","9304","Chiffre officiel"
"France [FRA]","Djibouti [DJI]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","35.58","Chiffre officiel"
"France [FRA]","Djibouti [DJI]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","142","Chiffre officiel"
"France [FRA]","Dominique [DMA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Dominique [DMA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","El Salvador [SLV]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","El Salvador [SLV]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Espagne [ESP]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","15162.63","Chiffre officiel"
"France [FRA]","Espagne [ESP]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","24625","Chiffre officiel"
"France [FRA]","Estonie [EST]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","122.22","Chiffre officiel"
"France [FRA]","Estonie [EST]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","272","Chiffre officiel"
"France [FRA]","Eswatini [SWZ]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Eswatini [SWZ]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Fidji [FJI]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Fidji [FJI]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Finlande [FIN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","44.5","Chiffre officiel"
"France [FRA]","Finlande [FIN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","224","Chiffre officiel"
"France [FRA]","France [FRA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","France [FRA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Fédération de Russie [RUS]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Fédération de Russie [RUS]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Gabon [GAB]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","1515.27","Chiffre officiel"
"France [FRA]","Gabon [GAB]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","2588","Chiffre officiel"
"France [FRA]","Gambie [GMB]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","2.53","Chiffre officiel"
"France [FRA]","Gambie [GMB]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","6","Chiffre officiel"
"France [FRA]","Ghana [GHA]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","621.09","Chiffre officiel"
"France [FRA]","Ghana [GHA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","460","Chiffre officiel"
"France [FRA]","Grenade [GRD]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Grenade [GRD]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Grèce [GRC]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","723.99","Chiffre officiel"
"France [FRA]","Grèce [GRC]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","3024","Chiffre officiel"
"France [FRA]","Guadeloupe [GLP]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Guadeloupe [GLP]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Guatemala [GTM]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Guatemala [GTM]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Guinée [GIN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","1215.54","Chiffre officiel"
"France [FRA]","Guinée [GIN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","1702","Chiffre officiel"
"France [FRA]","Guinée équatoriale [GNQ]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","256.43","Chiffre officiel"
"France [FRA]","Guinée équatoriale [GNQ]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","447","Chiffre officiel"
"France [FRA]","Guinée-Bissau [GNB]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Guinée-Bissau [GNB]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Guyana [GUY]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Guyana [GUY]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Guyane française [GUF]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Guyane française [GUF]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Géorgie [GEO]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","1375.97","Chiffre officiel"
"France [FRA]","Géorgie [GEO]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","1091","Chiffre officiel"
"France [FRA]","Géorgie du Sud-et-Îles Sandwich du Sud [SGS]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Géorgie du Sud-et-Îles Sandwich du Sud [SGS]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Haïti [HTI]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Haïti [HTI]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
"France [FRA]","Honduras [HND]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","",""
