"","","","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","Unité","Valeur","Description du Symbole","Note"
"Côte d'Ivoire [CIV]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","9.26","Valeur estimée",""
"Danemark [DNK]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3592","Valeur estimée",""
"Danemark [DNK]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","69.74","Valeur estimée",""
"Djibouti [DJI]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2766","Valeur estimée",""
"Djibouti [DJI]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","15.15","Valeur estimée",""
"Dominique [DMA]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3013","Valeur estimée",""
"Dominique [DMA]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","174.27","Valeur estimée",""
"El Salvador [SLV]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2836","Valeur estimée",""
"El Salvador [SLV]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","106.43","Valeur estimée",""
"Espagne [ESP]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3375","Valeur estimée",""
"Espagne [ESP]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","119.16","Valeur estimée",""
"Estonie [EST]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3298","Valeur estimée",""
"Estonie [EST]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","94.65","Valeur estimée",""
"Eswatini [SWZ]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2553","Valeur estimée",""
"Eswatini [SWZ]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","23.68","Valeur estimée",""
"Fidji [FJI]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","2949","Valeur estimée",""
"Fidji [FJI]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","141.15","Valeur estimée",""
"Finlande [FIN]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3378","Valeur estimée",""
"Finlande [FIN]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","90.52","Valeur estimée",""
"France [FRA]","Disponibilité alimentaire (Kcal/personne/jour)","Total General [S2901]","kcal/personne/jour","3595","Valeur estimée",""
"France [FRA]","Disponibilité alimentaire (Kcal/personne/jour)","Viande de Volailles [S2734]","kcal/personne/jour","93.48","Valeur estimée",""
