"","","","2022 [2022]","2022 [2022]","2022 [2022]","2022 [2022]"
"","","","Unité","Valeur","Description du Symbole","Note"
"Burkina Faso [BFA]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Burkina Faso [BFA]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","49.72","Chiffre officiel [A]",""
"Burkina Faso [BFA]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","120","Chiffre officiel [A]",""
"Burundi [BDI]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Burundi [BDI]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Burundi [BDI]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","121.07","Chiffre officiel [A]",""
"Burundi [BDI]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","146","Chiffre officiel [A]",""
"Bélarus [BLR]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","183145.42","Valeur estimée [E]",""
"Bélarus [BLR]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","383565","Valeur estimée [E]",""
"Bélarus [BLR]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","16337.76","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Bélarus [BLR]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","25417","Ciffre de sources internationales [X]","Données estimées en utilisant les données des pays partenaires"
"Bénin [BEN]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","6.24","Chiffre officiel [A]",""
"Bénin [BEN]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","27","Chiffre officiel [A]",""
"Bénin [BEN]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","85544.28","Chiffre officiel [A]",""
"Bénin [BEN]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","70563","Chiffre officiel [A]",""
"Cabo Verde [CPV]","Exportations - quantité [5910]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Cabo Verde [CPV]","Exportations - valeur [5922]","Viande, poulet, fraîche ou réfrigérée [21121]","","","",""
"Cabo Verde [CPV]","Importations - quantité [5610]","Viande, poulet, fraîche ou réfrigérée [21121]","tonnes","11203.22","Chiffre officiel [A]",""
"Cabo Verde [CPV]","Importations - valeur [5622]","Viande, poulet, fraîche ou réfrigérée [21121]","1000 USD","18515","Chiffre officiel [A]",""
